구역,주소,상가매출,상권매출,거주인구,1인가구,같은 상권내 카페 개수,같은 상권내 베이커리 개수,주변 전철역 이름,주변 전철역 이용인구수,주변 학교 개수,주변 관광지유무,주변 빌딩 개수,파리바게트 최단거리,뚜레쥬르 최단거리,던킨도넛 최단거리,더벤티 최단거리,메가커피 최단거리,빽다방 최단거리,컴포즈 최단거리,이디야 최단거리,투썸플레이스 최단거리
C-15,인천광역시 연수구 센트럴로 123,49000,910000,10062,24.6,16,2,0,0,0,0,2,540,1250,590,810,440,490,530,270,160
C-16,인천광역시 연수구 갯벌로 12,66000,3520000,6151,32.8,7,2,테크노파크,20244,4,0,4,840,840,1630,1420,270,670,760,0,480
C-17,인천광역시 연수구 갯벌로 36,6200,790000,15250,24.8,18,5,테크노파크,20244,4,0,3,780,1030,1360,1260,420,750,780,200,560
C-18,인천광역시 연수구 신송로82번길 6,8600,27000,16505,28.8,3,0,0,0,3,0,0,450,1560,490,490,490,590,450,490,570
C-19,인천광역시 연수구 해돋이로 51,300,23000,13076,32.8,1,0,0,0,1,0,0,700,1390,930,820,790,890,660,600,910
C-20,인천광역시 연수구 해돋이로 107,170000,800000,16039,26.6,23,4,0,0,0,0,6,0,970,460,400,230,140,140,360,480
D-1,인천광역시 연수구 해돋이로 130,1500,1520000,22984,26.6,43,8,0,0,0,0,16,150,970,350,250,190,170,120,190,310
D-2,인천광역시 연수구 컨벤시아대로 81,210000,2120000,25785,26.6,52,11,0,0,0,0,16,150,970,190,120,100,0,150,100,130
D-3,인천광역시 연수구 컨벤시아대로 69,170000,210000,22106,26.6,21,11,0,0,0,0,16,120,1000,100,100,140,100,130,120,0
D-4,인천광역시 연수구 해돋이로120번길 23,97000,1660000,23626,26.6,44,9,0,0,1,0,16,120,1020,220,110,50,100,230,50,200
D-5,인천광역시 연수구 신송로125번길 13,92000,1470000,24173,26.6,35,8,0,0,1,0,13,60,1070,160,50,0,100,160,0,160
D-6,인천광역시 연수구 신송로125번길 7,88000,1560000,22487,26.6,38,7,0,0,1,0,13,0,1070,120,0,60,120,100,50,126
D-7,인천광역시 연수구 신송로 121,150000,1730000,22035,26.6,40,7,0,0,1,0,13,50,1090,60,50,100,150,50,100,100
D-8,인천광역시 연수구 해돋이로 118,5900,980000,19871,26.6,30,4,0,0,0,0,9,70,1080,460,330,270,270,0,270,430
D-9,인천광역시 연수구 하모니로36번길 19,3800,1060000,21041,26.6,32,5,0,0,0,0,9,90,1080,450,320,260,280,20,260,400
D-10,인천광역시 연수구 해돋이로 116,4600,980000,19081,26.6,30,4,0,0,0,0,9,60,1100,460,330,270,270,20,260,430
D-11,인천광역시 연수구 하모니로36번길 17,8700,990000,20599,26.6,30,5,0,0,0,0,9,90,1090,450,320,260,280,30,260,410
D-12,인천광역시 연수구 해돋이로 114,8800,910000,19624,26.6,28,4,0,0,0,0,9,60,1100,470,340,280,280,40,270,440
D-13,인천광역시 연수구 컨벤시아대로 55,20000,2180000,19131,24.8,50,12,0,0,0,0,13,180,1060,70,190,240,230,110,230,90
D-14,인천광역시 연수구 해돋이로 112,8200,750000,19874,26.6,21,3,0,0,0,0,9,110,1150,470,350,290,330,60,300,460
D-15,인천광역시 연수구 해돋이로 110,9800,750000,20685,26.6,21,3,0,0,0,0,9,120,1160,470,350,300,330,70,310,470
D-16,인천광역시 연수구 해돋이로 108,14000,540000,20497,26.6,16,3,0,0,0,0,9,120,1170,480,360,310,340,80,320,480
D-17,인천광역시 연수구 해돋이로 106,5800,540000,20046,26.6,16,3,0,0,0,0,9,150,1180,490,370,320,350,90,330,490
D-18,인천광역시 연수구 하모니로36번길 5,600,780000,16865,24.6,25,5,0,0,0,0,9,180,1180,480,360,330,370,120,330,470
D-19,인천광역시 연수구 해돋이로 104,13000,460000,20046,26.6,13,3,0,0,0,0,9,200,1200,490,370,340,380,130,340,480
D-20,인천광역시 연수구 하모니로36번길 3,6700,550000,20444,26.6,16,3,0,0,0,0,9,200,1200,490,370,340,380,130,340,480
